"whisker","individual","C_avg","N_avg","C_sd","N_sd","C_se","N_se","count","urban","site","dead","sfcoy","sex","group"
"S19-8741","S19-8741",-19.1272128081818,8.42865712718182,0.898871865278235,0.479836721586533,0.271020064703163,0.144676215103342,11,"urban","Brotherhood Way @ Arch st","roadkill","SFCoy185","male","Merced"
"S19-8742","S19-8742",-21.9365861561538,7.79288341384615,1.07226939606283,0.270426757972269,0.29739402220118,0.075002887855885,13,"urban","Presidio. Merchant rd @ Cranston rd","roadkill","SFCoy186","female",NA
"S19-8743","S19-8743",-19.7063999775,7.650886669625,0.5918978882378,0.340748623176386,0.209267505271473,0.120472831064001,8,"urban","Hahn st @ visitation ave","roadkill","SFCoy187","female","McLaren"
"S19-8744","S19-8744",-17.8261652854545,8.05096376936364,0.538771981964019,0.390672099452196,0.162445864702798,0.11779206999485,11,"urban","chestnut st @ hyde st","sick.euth","SFCoy188","female","Coit"
"S19-8745","S19-8745",-19.474304477,7.97017411125,1.24295425275139,0.839843680679296,0.277933020207457,0.187794756047253,20,"urban","lake merced blvd","roadkill","SFCoy189","female",NA
"S19-8746","S19-8746",-20.9856918178947,9.27546143389474,1.03838070783975,0.331127655019157,0.23822087212609,0.0759658939810582,19,"urban","john f shelley dr @Mansell st","roadkill","SFCoy190","female",NA
"S19-8747","S19-8747",-18.242756882,8.291804418,0.684425404390512,0.539684868040154,0.176717879528382,0.139346033741311,15,"urban","beach st @ powell","sick.euth","SFCoy191","male","Coit"
"S19-8748","S19-8748",-22.51743376125,7.20182497225,0.629172360566353,0.671720105809861,0.222446021345808,0.237488920938749,8,"urban","Presidio. lincoln st in front of cemetery","roadkill","SFCoy192","male","Presidio"
"S19-8749","S19-8749",-18.6807417826667,8.48265215346667,0.974441904884173,0.493299404820111,0.251599817964202,0.127369358637488,15,"urban","garces dr @ gonzales dr","roadkill","SFCoy193","female","Merced"
"S19-8750","S19-8750",-21.1053846153846,9.82538461538462,0.92826554556168,0.716433474285592,0.257454540136092,0.19870289438427,13,"urban","john muir dr @ skyline blvd","roadkill","SFCoy194","male","Merced"
"S19-8751","S19-8751",-18.51,7.75272727272727,0.617996763745572,0.793424109907065,0.186333035181634,0.239226370198494,11,"urban","guadalupe canyon pkwy, daly city","roadkill","SFCoy195","male","Merced"
"S19-8752","S19-8752",-20.5785714285714,8.685,1.03148777645061,0.460731024485086,0.275676704151677,0.123135545791468,14,"urban","stow lake @ MLK Dr","roadkill","SFCoy196","male","GGP - West"
"S19-8753","S19-8753",-19.2175,8.63375,0.854529110095145,0.337656136722949,0.213632277523786,0.0844140341807372,16,"urban","geneva ave onramp 280HWY","roadkill","SFCoy197","female","GGP - West"
"S19-8754","S19-8754",-18.385,8.65,0.715283160713294,0.490509938737229,0.292013127558791,0.200249843945008,6,"urban","california st @ kerny st","live cap","SFCoy198","female","Coit"
"S19-8755","S19-8755",-19.5959090909091,7.77636363636364,0.723935402872706,0.263611284073556,0.154343546487648,0.0562021146039045,22,"urban","park presidio bypass, northern end (GGP)","roadkill","SFCoy199","male","Presidio"
"S19-8756","S19-8756",-16.7245,8.768,0.952169130266036,0.414939437559393,0.212911490135171,0.0927832788928332,20,"urban","skyline blvd @ fort funston rd","roadkill","SFCoy200","male",NA
"S19-8757","S19-8757",-19.432,7.1564,0.805941478437899,0.293639234435727,0.16118829568758,0.0587278468871455,25,"urban","skyline blvd @ john muir dr","roadkill","SFCoy201","male","GGP - West"
