"SampleID","seg_num","C_raw","N_raw","C_total","N_total","C.N_ratio","individual","whisker","count","tray","duplicate","urban","site","dead","sfcoy","sex","group"
"S19-8741-A",1,-18.87303561,8.937899375,125.5711143,40.06990607,3.13380106458533,"S19-8741","S19-8741",11,"SFCoyTray1-ES","No","urban","Brotherhood Way @ Arch st","roadkill","SFCoy185","male","Merced"
"S19-8741-B",2,-17.92273428,8.795011991,99.89084383,32.28892022,3.09365699284446,"S19-8741","S19-8741",11,"SFCoyTray1-ES","No","urban","Brotherhood Way @ Arch st","roadkill","SFCoy185","male","Merced"
"S19-8741-C",3,-17.9560244,8.348258701,123.2652442,40.99828002,3.00659549961286,"S19-8741","S19-8741",11,"SFCoyTray1-ES","No","urban","Brotherhood Way @ Arch st","roadkill","SFCoy185","male","Merced"
"S19-8741-D",4,-18.58496738,8.263883533,105.6415315,34.83230673,3.03286062329642,"S19-8741","S19-8741",11,"SFCoyTray1-ES","No","urban","Brotherhood Way @ Arch st","roadkill","SFCoy185","male","Merced"
"S19-8741-E",5,-19.03457294,8.184773591,99.38706093,32.67941579,3.04127410259313,"S19-8741","S19-8741",11,"SFCoyTray1-ES","No","urban","Brotherhood Way @ Arch st","roadkill","SFCoy185","male","Merced"
"S19-8741-F",6,-19.45706588,7.76843559,101.8109757,33.25379552,3.06163474298046,"S19-8741","S19-8741",11,"SFCoyTray1-ES","No","urban","Brotherhood Way @ Arch st","roadkill","SFCoy185","male","Merced"
"S19-8741-G",7,-19.89426952,8.053757526,95.32231129,30.84883867,3.08998054382836,"S19-8741","S19-8741",11,"SFCoyTray1-ES","No","urban","Brotherhood Way @ Arch st","roadkill","SFCoy185","male","Merced"
"S19-8741-H",8,-18.64261921,8.160137393,104.9627944,33.81233505,3.1042752369745,"S19-8741","S19-8741",11,"SFCoyTray1-ES","No","urban","Brotherhood Way @ Arch st","roadkill","SFCoy185","male","Merced"
"S19-8741-I",9,-21.0114838,7.988290484,103.5066996,33.01550369,3.13509375994621,"S19-8741","S19-8741",11,"SFCoyTray1-ES","No","urban","Brotherhood Way @ Arch st","roadkill","SFCoy185","male","Merced"
"S19-8741-J",10,-19.74848507,8.946189793,108.1320918,34.41357426,3.14213487338005,"S19-8741","S19-8741",11,"SFCoyTray1-ES","No","urban","Brotherhood Way @ Arch st","roadkill","SFCoy185","male","Merced"
"S19-8741-K",11,-19.2740828,9.268590422,133.0469996,42.83436678,3.10608069178045,"S19-8741","S19-8741",11,"SFCoyTray1-ES","No","urban","Brotherhood Way @ Arch st","roadkill","SFCoy185","male","Merced"
"S19-8742-A",1,-22.5630624,8.002088693,87.68296835,28.08851018,3.12166675228056,"S19-8742","S19-8742",13,"SFCoyTray1-ES","No","urban","Presidio. Merchant rd @ Cranston rd","roadkill","SFCoy186","female",NA
"S19-8742-B",2,-22.81707629,8.197804465,131.0187283,44.12844294,2.96903129979324,"S19-8742","S19-8742",13,"SFCoyTray1-ES","No","urban","Presidio. Merchant rd @ Cranston rd","roadkill","SFCoy186","female",NA
"S19-8742-C",3,-23.26526676,8.226776814,110.7428909,36.14084568,3.06420308701531,"S19-8742","S19-8742",13,"SFCoyTray1-ES","No","urban","Presidio. Merchant rd @ Cranston rd","roadkill","SFCoy186","female",NA
"S19-8742-D",4,-22.14059762,7.781335658,108.2862692,35.81853188,3.02319116715288,"S19-8742","S19-8742",13,"SFCoyTray1-ES","No","urban","Presidio. Merchant rd @ Cranston rd","roadkill","SFCoy186","female",NA
"S19-8742-E",5,-23.24048733,7.689416369,131.3756971,44.17458616,2.97401081753564,"S19-8742","S19-8742",13,"SFCoyTray1-ES","No","urban","Presidio. Merchant rd @ Cranston rd","roadkill","SFCoy186","female",NA
"S19-8742-F",6,-22.08532851,7.485403471,110.267066,36.51550104,3.01973306840869,"S19-8742","S19-8742",13,"SFCoyTray1-ES","No","urban","Presidio. Merchant rd @ Cranston rd","roadkill","SFCoy186","female",NA
"S19-8742-G",7,-21.69702848,7.644392342,114.3516609,38.05475608,3.00492429013619,"S19-8742","S19-8742",13,"SFCoyTray1-ES","No","urban","Presidio. Merchant rd @ Cranston rd","roadkill","SFCoy186","female",NA
"S19-8742-H",8,-22.78639922,7.754249086,115.9088266,38.45489352,3.01415024175576,"S19-8742","S19-8742",13,"SFCoyTray1-ES","No","urban","Presidio. Merchant rd @ Cranston rd","roadkill","SFCoy186","female",NA
"S19-8742-I",9,-22.06926072,7.427227185,120.6949812,40.54786714,2.97660492926238,"S19-8742","S19-8742",13,"SFCoyTray1-ES","No","urban","Presidio. Merchant rd @ Cranston rd","roadkill","SFCoy186","female",NA
"S19-8742-J",10,-21.56949081,7.647775452,102.6386464,33.29925004,3.08231105135123,"S19-8742","S19-8742",13,"SFCoyTray1-ES","No","urban","Presidio. Merchant rd @ Cranston rd","roadkill","SFCoy186","female",NA
"S19-8742-K",11,-20.33563175,7.587444637,121.2256649,40.4115036,2.9997811044081,"S19-8742","S19-8742",13,"SFCoyTray1-ES","No","urban","Presidio. Merchant rd @ Cranston rd","roadkill","SFCoy186","female",NA
"S19-8742-L",12,-19.93701501,7.689816062,97.51436323,30.76757151,3.16938771713933,"S19-8742","S19-8742",13,"SFCoyTray1-ES","No","urban","Presidio. Merchant rd @ Cranston rd","roadkill","SFCoy186","female",NA
"S19-8742-M",13,-20.66897513,8.173754146,119.1968695,39.16081585,3.04377901514021,"S19-8742","S19-8742",13,"SFCoyTray1-ES","No","urban","Presidio. Merchant rd @ Cranston rd","roadkill","SFCoy186","female",NA
"S19-8743-A",1,-19.68860564,7.097659073,97.79048107,31.19732325,3.13457921650377,"S19-8743","S19-8743",8,"SFCoyTray1-ES","No","urban","Hahn st @ visitation ave","roadkill","SFCoy187","female","McLaren"
"S19-8743-B",2,-19.11568223,7.439504945,99.13418713,32.0664686,3.09152181260147,"S19-8743","S19-8743",8,"SFCoyTray1-ES","No","urban","Hahn st @ visitation ave","roadkill","SFCoy187","female","McLaren"
"S19-8743-C",3,-19.42604179,7.504955956,109.9164319,35.56439984,3.09063086666726,"S19-8743","S19-8743",8,"SFCoyTray1-ES","No","urban","Hahn st @ visitation ave","roadkill","SFCoy187","female","McLaren"
"S19-8743-D",4,-20.78295359,7.944505137,119.9815539,39.242083,3.05747158987457,"S19-8743","S19-8743",8,"SFCoyTray1-ES","No","urban","Hahn st @ visitation ave","roadkill","SFCoy187","female","McLaren"
"S19-8743-E",5,-20.0537969,8.039785158,109.4829249,35.16770592,3.11316652695667,"S19-8743","S19-8743",8,"SFCoyTray1-ES","No","urban","Hahn st @ visitation ave","roadkill","SFCoy187","female","McLaren"
"S19-8743-F",6,-19.05354673,8.056448539,115.6682549,37.3564095,3.09634294216632,"S19-8743","S19-8743",8,"SFCoyTray1-ES","No","urban","Hahn st @ visitation ave","roadkill","SFCoy187","female","McLaren"
"S19-8743-G",7,-19.37048775,7.669435282,96.19537313,31.00379723,3.10269649928297,"S19-8743","S19-8743",8,"SFCoyTray1-ES","No","urban","Hahn st @ visitation ave","roadkill","SFCoy187","female","McLaren"
"S19-8743-H",8,-20.16008519,7.454799267,146.6574354,48.92113904,2.9978336211691,"S19-8743","S19-8743",8,"SFCoyTray1-ES","No","urban","Hahn st @ visitation ave","roadkill","SFCoy187","female","McLaren"
"S19-8744-A",1,-17.3331071,7.937832504,103.064974,33.32955304,3.09229991402249,"S19-8744","S19-8744",11,"SFCoyTray1-ES","No","urban","chestnut st @ hyde st","sick.euth","SFCoy188","female","Coit"
"S19-8744-B",2,-17.32961392,8.024701409,131.9974581,44.31508192,2.97861252605352,"S19-8744","S19-8744",11,"SFCoyTray1-ES","No","urban","chestnut st @ hyde st","sick.euth","SFCoy188","female","Coit"
"S19-8744-C",3,-17.20926203,7.8198261,114.2303799,37.42872349,3.05194431572104,"S19-8744","S19-8744",11,"SFCoyTray1-ES","No","urban","chestnut st @ hyde st","sick.euth","SFCoy188","female","Coit"
"S19-8744-D",4,-17.41996016,7.66373966,121.5448196,40.39015376,3.00926855397047,"S19-8744","S19-8744",11,"SFCoyTray1-ES","No","urban","chestnut st @ hyde st","sick.euth","SFCoy188","female","Coit"
"S19-8744-E",5,-17.41679567,7.65168744,120.7872777,40.10020907,3.01213585917097,"S19-8744","S19-8744",11,"SFCoyTray1-ES","No","urban","chestnut st @ hyde st","sick.euth","SFCoy188","female","Coit"
"S19-8744-F",6,-18.20689967,7.642748754,116.3456779,38.52100917,3.02031749444948,"S19-8744","S19-8744",11,"SFCoyTray1-ES","No","urban","chestnut st @ hyde st","sick.euth","SFCoy188","female","Coit"
"S19-8744-G",7,-17.83815487,7.946655851,114.3112342,37.48175376,3.04978350084545,"S19-8744","S19-8744",11,"SFCoyTray1-ES","No","urban","chestnut st @ hyde st","sick.euth","SFCoy188","female","Coit"
"S19-8744-H",8,-18.27014398,8.296496091,100.3289626,32.18630322,3.1171322134832,"S19-8744","S19-8744",11,"SFCoyTray1-ES","No","urban","chestnut st @ hyde st","sick.euth","SFCoy188","female","Coit"
"S19-8744-I",9,-18.48254872,8.487255292,101.8283407,32.67390616,3.11650343247481,"S19-8744","S19-8744",11,"SFCoyTray1-ES","No","urban","chestnut st @ hyde st","sick.euth","SFCoy188","female","Coit"
"S19-8744-J",10,-18.78833386,8.202770974,103.4642646,33.14084795,3.12195586413775,"S19-8744","S19-8744",11,"SFCoyTray1-ES","No","urban","chestnut st @ hyde st","sick.euth","SFCoy188","female","Coit"
"S19-8744-K",11,-17.79299816,8.886887388,88.19555008,27.65600362,3.18902005119133,"S19-8744","S19-8744",11,"SFCoyTray1-ES","No","urban","chestnut st @ hyde st","sick.euth","SFCoy188","female","Coit"
"S19-8745-A",1,-21.26492726,10.05754803,111.2918688,36.61949546,3.03914260428754,"S19-8745","S19-8745",20,"SFCoyTray1-ES","No","urban","lake merced blvd","roadkill","SFCoy189","female",NA
"S19-8745-B",2,-20.17000315,9.600325236,136.5951474,46.32059004,2.94890775963872,"S19-8745","S19-8745",20,"SFCoyTray1-ES","No","urban","lake merced blvd","roadkill","SFCoy189","female",NA
"S19-8745-C",3,-18.41774912,9.136839085,130.8018489,44.22968253,2.95733185087368,"S19-8745","S19-8745",20,"SFCoyTray1-ES","No","urban","lake merced blvd","roadkill","SFCoy189","female",NA
"S19-8745-D",4,-17.83889491,8.595950198,117.9003567,39.28133917,3.00143424820005,"S19-8745","S19-8745",20,"SFCoyTray1-ES","No","urban","lake merced blvd","roadkill","SFCoy189","female",NA
