SampleID,C_raw,N_raw,C_total,N_total,individual,whisker,tray,duplicate
S22-0885-I,-18.2,7.61,104.14,35.22,S22-0885,S22-0885,SFCoyTray3-TC,No
S22-0885-J,-17.9,7.39,135.15,45.88,S22-0885,S22-0885,SFCoyTray3-TC,No
S22-0885-K,-17.94,7.12,124.75,41.97,S22-0885,S22-0885,SFCoyTray3-TC,No
S22-0885-L,-18.01,7.18,106.85,36.34,S22-0885,S22-0885,SFCoyTray3-TC,No
S22-0885-M,-19.43,7.26,150.56,50.18,S22-0885,S22-0885,SFCoyTray3-TC,No
S22-0887-A,-20.32,8.73,103.9,33.34,S22-0887,S22-0887,SFCoyTray3-TC,No
S22-0887-B,-18.71,7.7,98.56,33.94,S22-0887,S22-0887,SFCoyTray3-TC,No
S22-0887-C,-19.93,7.87,123.13,42.44,S22-0887,S22-0887,SFCoyTray3-TC,No
S22-0887-D,-19.24,7.69,123.48,42.28,S22-0887,S22-0887,SFCoyTray3-TC,No
S22-0887-E,-19.48,7.08,114.44,39.51,S22-0887,S22-0887,SFCoyTray3-TC,No
S22-0887-F,-18.63,7.75,102.63,35.64,S22-0887,S22-0887,SFCoyTray3-TC,No
S22-0887-G,-19.07,7.88,92.43,31.98,S22-0887,S22-0887,SFCoyTray3-TC,No
S22-0887-H,-19.7,7.75,128.02,43.97,S22-0887,S22-0887,SFCoyTray3-TC,No
S22-0887-I,-19.21,7.73,118.15,40.58,S22-0887,S22-0887,SFCoyTray3-TC,No
S22-0887-J,-18.88,6.94,121.11,41.24,S22-0887,S22-0887,SFCoyTray3-TC,No
S22-0887-K,-19.43,7.56,68.73,23.48,S22-0887,S22-0887,SFCoyTray3-TC,No
S22-0888-A,-17.69,7.97,131.58,44.2,S22-0888,S22-0888,SFCoyTray3-TC,No
S22-0888-B,-17.31,8.08,145.21,49.22,S22-0888,S22-0888,SFCoyTray3-TC,No
S22-0888-C,-16.91,7.89,126.66,43.24,S22-0888,S22-0888,SFCoyTray3-TC,No
S22-0888-D,-16.63,7.92,124.14,42.26,S22-0888,S22-0888,SFCoyTray3-TC,No
S22-0888-E,-16.09,7.73,121.16,41.48,S22-0888,S22-0888,SFCoyTray3-TC,No
S22-0888-F,-16.63,8.15,117.62,40.48,S22-0888,S22-0888,SFCoyTray3-TC,No
S22-0888-G,-16.63,7.65,99.27,34.44,S22-0888,S22-0888,SFCoyTray3-TC,No
S22-0888-H,-16.8,8.16,96.39,33.27,S22-0888,S22-0888,SFCoyTray3-TC,No
S22-0888-I,-16.32,8.32,92.61,32.07,S22-0888,S22-0888,SFCoyTray3-TC,No
S22-0888-J,-16.55,8.53,105.47,36.31,S22-0888,S22-0888,SFCoyTray3-TC,No
S22-0888-K,-16.39,8.25,113.44,38.94,S22-0888,S22-0888,SFCoyTray3-TC,No
S22-0888-L,-16.05,8.08,133.79,45.8,S22-0888,S22-0888,SFCoyTray3-TC,No
S22-0888-M,-16.77,7.96,101.61,34.66,S22-0888,S22-0888,SFCoyTray3-TC,No
S22-0888-N,-16.51,7.73,124,42.1,S22-0888,S22-0888,SFCoyTray3-TC,No
S22-0888-O,-17.01,7.77,101.59,33.98,S22-0888,S22-0888,SFCoyTray3-TC,No
S22-0888-P,-18.69,8.28,169.29,56.12,S22-0888,S22-0888,SFCoyTray3-TC,No
S22-1017-A,-18.72,9.73,159.38,52.65,S22-1017,S22-1017,SFCoyTray3-TC,No
S22-1017-B,-18.23,8.34,133.04,45.9,S22-1017,S22-1017,SFCoyTray3-TC,No
S22-1017-C,-18.46,8.1,120.36,41.23,S22-1017,S22-1017,SFCoyTray3-TC,No
S22-1017-D,-18.75,8.26,147.21,50.51,S22-1017,S22-1017,SFCoyTray3-TC,No
S22-1017-E,-19.22,7.92,95.77,30.88,S22-1017,S22-1017,SFCoyTray3-TC,No
S22-1017-F,-18.84,8.51,142.57,48.35,S22-1017,S22-1017,SFCoyTray3-TC,No
S22-1017-G,-18.91,8.79,119.16,40.47,S22-1017,S22-1017,SFCoyTray3-TC,No
S22-1017-H,-18.26,8.64,118.3,40.49,S22-1017,S22-1017,SFCoyTray3-TC,No
S22-1017-I,-17.46,8.91,111.6,38.01,S22-1017,S22-1017,SFCoyTray3-TC,No
S22-1017-J,-17.43,8.97,91.87,31.53,S22-1017,S22-1017,SFCoyTray3-TC,No
S22-1017-K,-18.32,9.12,112.01,37.82,S22-1017,S22-1017,SFCoyTray3-TC,No
S22-1017-L,-18.23,9.19,76.21,26.28,S22-1017,S22-1017,SFCoyTray3-TC,No
S22-1017-M,-18.31,8.9,127.3,43.16,S22-1017,S22-1017,SFCoyTray3-TC,No
S22-1017-N,-18.99,8.02,89.25,30.51,S22-1017,S22-1017,SFCoyTray3-TC,No
S22-1017-O,-18.73,8.4,91.21,30.71,S22-1017,S22-1017,SFCoyTray3-TC,No
S22-1017-P,-18.43,8.88,100.74,33.89,S22-1017,S22-1017,SFCoyTray3-TC,No
S22-1017-Q,-16.95,8.74,102.9,34.49,S22-1017,S22-1017,SFCoyTray3-TC,No
S22-1017-R,-16.49,8.96,90.75,30.44,S22-1017,S22-1017,SFCoyTray3-TC,No
S22-1017-S,-20.07,9.53,91.95,30.93,S22-1017,S22-1017,SFCoyTray3-TC,No
S22-1017-T,-20.47,9.14,106.03,35.7,S22-1017,S22-1017,SFCoyTray3-TC,No
S22-1017-U,-21.35,8.61,141.96,46.87,S22-1017,S22-1017,SFCoyTray3-TC,No
S22-3047-A,-19.47,7.83,96.23,32.62,S22-3047,S22-3047,SFCoyTray3-TC,No
S22-3047-B,-19.25,7.26,118.69,40.46,S22-3047,S22-3047,SFCoyTray3-TC,No
S22-3047-C,-20.11,7.41,93.19,31.64,S22-3047,S22-3047,SFCoyTray3-TC,No
S22-3047-D,-20.41,7.93,98.11,33.13,S22-3047,S22-3047,SFCoyTray3-TC,No
S22-3047-E,-19.88,7.86,94.73,31.68,S22-3047,S22-3047,SFCoyTray3-TC,No
S22-3047-F,-19.89,8.09,89.5,29.93,S22-3047,S22-3047,SFCoyTray3-TC,No
S22-3047-G,-19.7,8.31,107.72,35.69,S22-3047,S22-3047,SFCoyTray3-TC,No
S22-3047-H,-19.95,8.68,87.31,29.3,S22-3047,S22-3047,SFCoyTray3-TC,No
S22-3046-A,-17.24,7.09,123.13,40.2,S22-3046,S22-3046,SFCoyTray3-TC,No
S22-3046-B,-16.53,6.61,124.07,42.33,S22-3046,S22-3046,SFCoyTray3-TC,No
S22-3046-C,-16.77,6.55,123.76,42.36,S22-3046,S22-3046,SFCoyTray3-TC,No
S22-3046-D,-16.6,6.74,118.96,40.67,S22-3046,S22-3046,SFCoyTray3-TC,No
S22-3046-E,-16.51,6.93,124.6,42.48,S22-3046,S22-3046,SFCoyTray3-TC,No
S22-3046-F,-16.28,7,97.9,33.58,S22-3046,S22-3046,SFCoyTray3-TC,No
S22-3046-G,-16.63,6.92,112.28,38.26,S22-3046,S22-3046,SFCoyTray3-TC,No
S22-3046-H,-16.81,6.83,148.79,50.57,S22-3046,S22-3046,SFCoyTray3-TC,No
S22-3046-I,-17.38,6.94,142.19,47.98,S22-3046,S22-3046,SFCoyTray3-TC,No
S22-3046-J,-17.36,6.69,92.1,31.55,S22-3046,S22-3046,SFCoyTray3-TC,No
S22-3046-K,-16.9,6.72,91,30.79,S22-3046,S22-3046,SFCoyTray3-TC,No
S22-3046-L,-16.64,6.79,97.66,32.98,S22-3046,S22-3046,SFCoyTray3-TC,No
S22-3046-M,-16.94,6.15,131.59,44.47,S22-3046,S22-3046,SFCoyTray3-TC,No
S22-3046-N,-17.03,7.16,127.42,42.39,S22-3046,S22-3046,SFCoyTray3-TC,No
S22-3046-O,-17.41,6.69,96.83,32.47,S22-3046,S22-3046,SFCoyTray3-TC,No
S22-3046-P,-17.04,7,155.21,51.1,S22-3046,S22-3046,SFCoyTray3-TC,No
S22-0881-A,-20.96,8.7,108.57,36.52,S22-0881,S22-0881,SFCoyTray3-TC,No
S22-0881-B,-21.58,7.66,102.21,34.91,S22-0881,S22-0881,SFCoyTray3-TC,No
S22-0881-C,-20.74,7.91,117,39.62,S22-0881,S22-0881,SFCoyTray3-TC,No
S22-0881-D,-20.74,7.46,149.98,50.22,S22-0881,S22-0881,SFCoyTray3-TC,No
S22-0882-A,-20.04,8.8,161.85,52.79,S22-0882,S22-0882,SFCoyTray3-TC,No
S22-0882-B,-18.45,8.3,129.51,43.91,S22-0882,S22-0882,SFCoyTray3-TC,No
S22-0882-C,-19.73,9.16,166.07,56.12,S22-0882,S22-0882,SFCoyTray3-TC,No
S22-0882-D,-20.01,9.12,134.89,45.32,S22-0882,S22-0882,SFCoyTray3-TC,No
S22-0882-E,-20.07,8.25,112.43,38.09,S22-0882,S22-0882,SFCoyTray3-TC,No
S22-0882-F,-20.04,7.77,94.41,32.29,S22-0882,S22-0882,SFCoyTray3-TC,No
S22-0882-G,-19.31,8.12,91.19,31.22,S22-0882,S22-0882,SFCoyTray3-TC,No
S22-0882-H,-20.74,7.7,116.76,39.42,S22-0882,S22-0882,SFCoyTray3-TC,No
S22-0882-I,-21.56,7.33,113.79,38.17,S22-0882,S22-0882,SFCoyTray3-TC,No
S22-0882-J,-20.91,7.39,132.78,44.44,S22-0882,S22-0882,SFCoyTray3-TC,No
S22-0882-K,-20.4,7.68,101.05,33.9,S22-0882,S22-0882,SFCoyTray3-TC,No
S22-0882-L,-19.55,7.34,124.99,41.82,S22-0882,S22-0882,SFCoyTray3-TC,No
S22-0882-M,-20.06,7.1,97.36,32.49,S22-0882,S22-0882,SFCoyTray3-TC,No
S22-0882-N,-20.78,7.41,97,32.56,S22-0882,S22-0882,SFCoyTray3-TC,No
S22-0882-O,-19.26,8.25,129.46,43.07,S22-0882,S22-0882,SFCoyTray3-TC,No
S19-8768-E,-17.83,8.99,101.61,34.58,S19-8768,S19-8768,SFCoyTray2-ES,No
S19-8768-F,-18.37,8.64,98.72,33.71,S19-8768,S19-8768,SFCoyTray2-ES,No
S19-8768-G,-17.36,8.28,104.39,35.58,S19-8768,S19-8768,SFCoyTray2-ES,No
S19-8768-H,-17.63,7.92,104.13,35.2,S19-8768,S19-8768,SFCoyTray2-ES,No
S19-8768-I,-17.35,7.93,120.77,40.95,S19-8768,S19-8768,SFCoyTray2-ES,No
S19-8768-J,-18.55,8.46,104.16,35.4,S19-8768,S19-8768,SFCoyTray2-ES,No
S19-8768-K,-18.07,9.05,110.86,37.38,S19-8768,S19-8768,SFCoyTray2-ES,No
S19-8768-L,-18.25,9.22,87.47,29.74,S19-8768,S19-8768,SFCoyTray2-ES,No
S19-8768-M,-19.15,7.68,89.27,30.6,S19-8768,S19-8768,SFCoyTray2-ES,No
S19-8768-N,-18.59,7.41,105.39,35.33,S19-8768,S19-8768,SFCoyTray2-ES,No
S19-8768-O,-18.32,8.6,105.46,35.79,S19-8768,S19-8768,SFCoyTray2-ES,No
S19-8768-P,-18.08,7.61,93.36,31.95,S19-8768,S19-8768,SFCoyTray2-ES,No
S19-8769-A,-18.71,8,98.32,32.7,S19-8769,S19-8769,SFCoyTray2-ES,No
S19-8769-B,-18.99,7.88,126.5,43.14,S19-8769,S19-8769,SFCoyTray2-ES,No
S19-8769-C,-19.53,8.19,109.78,37.53,S19-8769,S19-8769,SFCoyTray2-ES,No
S19-8769-D,-19.62,8.21,114.76,39.12,S19-8769,S19-8769,SFCoyTray2-ES,No
S19-8769-E,-19.49,8.63,100.53,34.62,S19-8769,S19-8769,SFCoyTray2-ES,No
S19-8769-F,-19.16,8.45,106.42,36.21,S19-8769,S19-8769,SFCoyTray2-ES,No
S19-8769-G,-19.67,8.63,99.76,33.9,S19-8769,S19-8769,SFCoyTray2-ES,No
S19-8769-H,-19.83,8.25,92.13,31.34,S19-8769,S19-8769,SFCoyTray2-ES,No
S19-8769-I,-19.41,7.94,106.5,36.35,S19-8769,S19-8769,SFCoyTray2-ES,No
S19-8769-J,-19.04,8.25,98.44,33.37,S19-8769,S19-8769,SFCoyTray2-ES,No
S19-8769-K,-18.83,8.23,98.21,33.5,S19-8769,S19-8769,SFCoyTray2-ES,No
S19-8769-L,-19.79,8.39,95,32.24,S19-8769,S19-8769,SFCoyTray2-ES,No
S19-8769-M,-19.79,8.26,81.18,27.4,S19-8769,S19-8769,SFCoyTray2-ES,No
S19-8771-A,-20.92,9.18,90.89,29.38,S19-8771,S19-8771,SFCoyTray2-ES,No
S19-8771-B,-20.14,8.88,111.37,38.11,S19-8771,S19-8771,SFCoyTray2-ES,No
S19-8771-C,-19.79,8.85,125.03,42.67,S19-8771,S19-8771,SFCoyTray2-ES,No
S19-8771-D,-20.01,8.32,133.47,45.22,S19-8771,S19-8771,SFCoyTray2-ES,No
S19-8771-E,-19.24,8.79,109.8,37.57,S19-8771,S19-8771,SFCoyTray2-ES,No
S19-8771-F,-17.73,9.23,102.75,35.48,S19-8771,S19-8771,SFCoyTray2-ES,No
S19-8771-G,-18.02,9,126.26,43.08,S19-8771,S19-8771,SFCoyTray2-ES,No
S19-8771-H,-17.9,9.07,117.58,40.27,S19-8771,S19-8771,SFCoyTray2-ES,No
S19-8771-I,-18.12,9.11,119.23,40.82,S19-8771,S19-8771,SFCoyTray2-ES,No
S19-8771-J,-18.52,8.61,90.18,30.92,S19-8771,S19-8771,SFCoyTray2-ES,No
S19-8771-K,-20.19,7.62,95.16,32.29,S19-8771,S19-8771,SFCoyTray2-ES,No
S19-8771-L,-19.29,7.47,104.17,34.41,S19-8771,S19-8771,SFCoyTray2-ES,No
S19-8771-M,-19.81,7.89,79.09,26.24,S19-8771,S19-8771,SFCoyTray2-ES,No
S19-8771-N,-19.61,7.68,84.56,28.06,S19-8771,S19-8771,SFCoyTray2-ES,No
S19-8772-A,-20.2,8.45,135.72,44.37,S19-8772,S19-8772,SFCoyTray2-ES,No
S19-8772-B,-20.42,8.03,104.77,35.82,S19-8772,S19-8772,SFCoyTray2-ES,No
S19-8772-C,-20.49,7.79,124.93,42.89,S19-8772,S19-8772,SFCoyTray2-ES,No
S19-8772-D,-19.88,8,122.03,42.2,S19-8772,S19-8772,SFCoyTray2-ES,No
S19-8772-E,-19.23,7.63,111.4,38.42,S19-8772,S19-8772,SFCoyTray2-ES,No
S19-8772-F,-20.38,7.7,106.35,36.46,S19-8772,S19-8772,SFCoyTray2-ES,No
S19-8772-G,-20.02,7.67,121.05,41.59,S19-8772,S19-8772,SFCoyTray2-ES,No
S19-8772-H,-20.87,7.63,118.89,40.68,S19-8772,S19-8772,SFCoyTray2-ES,No
S19-8772-I,-21.44,7.57,120.03,40.79,S19-8772,S19-8772,SFCoyTray2-ES,No
S19-8772-J,-20.56,7.22,103.98,35.04,S19-8772,S19-8772,SFCoyTray2-ES,No
S19-8772-K,-19.69,7.49,107.47,35.98,S19-8772,S19-8772,SFCoyTray2-ES,No
S19-8772-L,-19.75,7.66,90.36,30.65,S19-8772,S19-8772,SFCoyTray2-ES,No
S19-8772-M,-19.56,8,90.96,30.95,S19-8772,S19-8772,SFCoyTray2-ES,No
S19-8772-N,-19.7,7.66,109.33,36.47,S19-8772,S19-8772,SFCoyTray2-ES,No
S19-8772-O,-18.89,7.61,91.03,30.51,S19-8772,S19-8772,SFCoyTray2-ES,No
S19-8776-A,-21.71,9.2,122.65,40.3,S19-8776,S19-8776,SFCoyTray2-ES,No
S19-8776-B,-21.95,9.3,112.34,38.16,S19-8776,S19-8776,SFCoyTray2-ES,No
S19-8776-C,-21.1,9.28,106.85,36.3,S19-8776,S19-8776,SFCoyTray2-ES,No
