SampleID,C_raw,N_raw,C_total,N_total,individual,whisker,tray,duplicate
S22-0889-1A,-18.65,8.5,102.53,33.65,S22-0889,S22-0889-A,Tray1,Yes
S22-0889-1B,-17.88,7.88,148.89,50.47,S22-0889,S22-0889-A,Tray1,Yes
S22-0889-1C,-17.97,7.87,152.94,52.07,S22-0889,S22-0889-A,Tray1,Yes
S22-0889-1D,-17.13,7.95,126.14,43,S22-0889,S22-0889-A,Tray1,Yes
S22-0889-1E,-17.27,7.81,126.07,43.3,S22-0889,S22-0889-A,Tray1,Yes
S22-0889-1F,-17.26,7.47,98.69,33.98,S22-0889,S22-0889-A,Tray1,Yes
S22-0889-1G,-18.1,7.54,96.06,33.01,S22-0889,S22-0889-A,Tray1,Yes
S22-0889-1H,-17.3,7.45,134.31,45.7,S22-0889,S22-0889-A,Tray1,Yes
S22-0889-1I,-18.77,7.8,92.61,31.62,S22-0889,S22-0889-A,Tray1,Yes
S22-0889-1J,-19.31,8.39,107.78,36.51,S22-0889,S22-0889-A,Tray1,Yes
S22-0889-1K,-18.53,8.05,113.53,38.54,S22-0889,S22-0889-A,Tray1,Yes
S22-0889-1L,-17.74,7.77,113.18,38.4,S22-0889,S22-0889-A,Tray1,Yes
S22-0889-1M,-17.6,8.25,129.31,43.5,S22-0889,S22-0889-A,Tray1,Yes
S22-0889-1N,-17.04,7.31,99.17,33.71,S22-0889,S22-0889-A,Tray1,Yes
S22-0889-1O,-16.9,7.66,89.68,30.6,S22-0889,S22-0889-A,Tray1,Yes
S22-0889-1P,-16.67,7.64,104.6,35.81,S22-0889,S22-0889-A,Tray1,Yes
S22-0889-1Q,-17.18,7.61,68.32,22.59,S22-0889,S22-0889-A,Tray1,Yes
S22-0889-2A,-17.78,6.72,125.39,42.29,S22-0889,S22-0889-B,Tray1,No
S22-0889-2B,-17.62,6.91,125.5,43.13,S22-0889,S22-0889-B,Tray1,No
S22-0889-2C,-17.95,7.57,112.54,38.53,S22-0889,S22-0889-B,Tray1,No
S22-0889-2D,-17.83,7.16,128.58,44.07,S22-0889,S22-0889-B,Tray1,No
S22-0889-2E,-17.99,7.21,105.75,36.29,S22-0889,S22-0889-B,Tray1,No
S22-0889-2F,-17.1,7.01,99.02,33.94,S22-0889,S22-0889-B,Tray1,No
S22-0889-2G,-17.01,6.96,131.55,44.59,S22-0889,S22-0889-B,Tray1,No
S22-0889-2H,-17.24,6.9,103.25,35.39,S22-0889,S22-0889-B,Tray1,No
S22-0889-2I,-17.16,6.97,109.72,37.67,S22-0889,S22-0889-B,Tray1,No
S22-0889-2J,-18.01,6.94,109.87,37.43,S22-0889,S22-0889-B,Tray1,No
S22-0889-2K,-18.01,7.06,115.34,39.28,S22-0889,S22-0889-B,Tray1,No
