SampleID,d13C,TotalC,d15N,TotalN,tray,well,material,species
Goph03,-27.37420167,421.3748155,5.621897215,130.380062,SFPreyTray01,A1,vertebrate hair,gopher
Goph04,-26.28313872,522.3442294,5.649914964,165.4535483,SFPreyTray01,A2,vertebrate hair,gopher
Goph05,-26.8966048,393.0670095,5.257527571,123.4159744,SFPreyTray01,A3,vertebrate hair,gopher
Goph10,-20.15636399,546.7828112,8.718122972,176.3617366,SFPreyTray01,A4,vertebrate hair,gopher
Goph12,-25.22310819,394.0318625,6.412207151,126.4314283,SFPreyTray01,A5,vertebrate hair,gopher
Goph13,-26.54247136,267.7234463,5.427345658,84.93797831,SFPreyTray01,A6,vertebrate hair,gopher
Goph14,-25.19037282,576.9843456,4.11626827,174.0109226,SFPreyTray01,A7,vertebrate hair,gopher
Goph15,-25.33017429,403.0000894,5.418133653,128.7312159,SFPreyTray01,A8,vertebrate hair,gopher
Goph16,-25.51498683,437.6006994,6.572804154,137.8872441,SFPreyTray01,A9,vertebrate hair,gopher
Goph17,-27.77714692,608.2161468,5.88136662,190.0083166,SFPreyTray01,A10,vertebrate hair,gopher
Sq01,-22.71370241,566.3644212,4.68325807,176.6549904,SFPreyTray01,A11,vertebrate hair,squirrel
Sq02,-18.34759498,540.6142934,5.329019878,168.0124164,SFPreyTray01,A12,vertebrate hair,squirrel
Sq03,-22.93725759,605.3902722,9.536427785,188.9298173,SFPreyTray01,B1,vertebrate hair,squirrel
Sq04,-23.04195327,505.9875179,6.366857491,159.6263411,SFPreyTray01,B2,vertebrate hair,squirrel
Sq05,-21.28441109,436.7928394,6.372128351,136.7207519,SFPreyTray01,B3,vertebrate hair,squirrel
Sq06,-24.19574982,669.3878272,4.799470944,208.0241469,SFPreyTray01,B4,vertebrate hair,squirrel
Sq07,-21.70004349,421.2963189,5.030142599,130.9783199,SFPreyTray01,B5,vertebrate hair,squirrel
Cat01,-18.62057828,649.263283,6.683017301,201.817004,SFPreyTray01,B6,vertebrate hair,cat
Cat02,-16.73580328,357.4851931,7.170812863,112.0394286,SFPreyTray01,B7,vertebrate hair,cat
Cat03,-18.93889629,543.1654301,8.443044416,165.8458332,SFPreyTray01,B8,vertebrate hair,cat
Cat04,-17.04522441,579.3359704,6.229713913,181.7324288,SFPreyTray01,B9,vertebrate hair,cat
Cat05,-17.2243818,374.2965302,7.416901382,116.8542887,SFPreyTray01,B10,vertebrate hair,cat
HMo01,-19.79772813,432.6783137,7.924407143,132.6656189,SFPreyTray01,B11,vertebrate hair,housemouse
HMo02,-20.12564807,612.314319,7.161598161,187.9583233,SFPreyTray01,B12,vertebrate hair,housemouse
HMo03,-20.71847442,250.9091656,6.243259571,76.36138747,SFPreyTray01,C1,vertebrate hair,housemouse
HMo04,-19.74451374,381.3939235,8.616195693,116.4820529,SFPreyTray01,C2,vertebrate hair,housemouse
HMo05,-20.46415431,589.2167193,8.979626291,178.2097315,SFPreyTray01,C3,vertebrate hair,housemouse
DMo01,-23.01628893,643.6148046,4.742244209,186.4733811,SFPreyTray01,C4,vertebrate hair,deermouse
DMo02,-24.55332647,509.9450506,4.642569156,141.108565,SFPreyTray01,C5,vertebrate hair,deermouse
Pos01,-21.20147283,640.0890028,10.75531734,199.6261996,SFPreyTray01,C6,vertebrate hair,possum
Pos07,-21.83599278,486.0559443,9.2636899,153.9103618,SFPreyTray01,C7,vertebrate hair,possum
Pos09,-19.72257301,600.2095022,9.74698376,190.3768429,SFPreyTray01,C8,vertebrate hair,possum
Rat01,-22.38464238,449.1233337,9.566945521,143.4419994,SFPreyTray01,C9,vertebrate hair,rat
Rat03,-20.66445357,624.7331219,6.254742154,198.6167809,SFPreyTray01,C10,vertebrate hair,rat
Rat06,-21.09171732,590.9534547,7.607266788,186.8021859,SFPreyTray01,C11,vertebrate hair,rat
Rat10,-20.10485023,543.5481006,6.682572041,171.4486908,SFPreyTray01,C12,vertebrate hair,rat
Rat14,-21.83699726,445.1330942,11.3872003,137.0886687,SFPreyTray01,D1,vertebrate hair,rat
Rat16,-20.35050371,431.9489502,7.426695776,129.480586,SFPreyTray01,D2,vertebrate hair,rat
Rat19,-22.84915407,439.3636003,10.22539052,138.6086005,SFPreyTray01,D3,vertebrate hair,rat
Rat25,-20.7459253,393.8258092,8.032447438,120.9333795,SFPreyTray01,D4,vertebrate hair,rat
Rat26,-25.39286009,369.5180548,5.281707825,113.9682835,SFPreyTray01,D5,vertebrate hair,rat
Rat28,-24.05148775,524.8299524,8.037554798,164.0472822,SFPreyTray01,D6,vertebrate hair,rat
Rat30,-20.7419994,362.1034048,9.403567915,112.5988592,SFPreyTray01,D7,vertebrate hair,rat
Sku01,-14.83119611,484.5448864,6.344651846,154.9228598,SFPreyTray01,D8,vertebrate hair,skunk
Sku04,-18.51343365,427.0625422,8.335767544,135.0734443,SFPreyTray01,D9,vertebrate hair,skunk
Sku05,-18.39218633,455.7301238,8.231582366,143.1666122,SFPreyTray01,D10,vertebrate hair,skunk
Sku07,-18.39013505,431.6480469,6.317551688,135.9148032,SFPreyTray01,D11,vertebrate hair,skunk
Sku09,-18.64912047,478.7034374,9.024317525,149.9059825,SFPreyTray01,D12,vertebrate hair,skunk
Sku12,-16.98441732,416.1155489,6.362200702,134.8944399,SFPreyTray01,E1,vertebrate hair,skunk
Sku15,-16.53816827,640.7594939,7.531066478,212.0660428,SFPreyTray01,E2,vertebrate hair,skunk
Sku16,-17.34925746,365.3413861,7.525473621,118.8766048,SFPreyTray01,E3,vertebrate hair,skunk
Sku18,-19.51023736,367.5883488,7.798453977,114.72525,SFPreyTray01,E4,vertebrate hair,skunk
Sku20,-19.20723112,577.2590834,7.968925412,183.9476925,SFPreyTray01,E5,vertebrate hair,skunk
Rac04,-18.90400021,642.4831465,8.255947549,204.5807438,SFPreyTray01,E6,vertebrate hair,raccoon
Rac07,-16.11964743,352.5170178,7.604660847,115.9744214,SFPreyTray01,E7,vertebrate hair,raccoon
Rac10,-18.80450158,519.652453,6.831730704,169.2458189,SFPreyTray01,E8,vertebrate hair,raccoon
Rac15,-18.63844318,342.6951413,7.201650957,112.0699414,SFPreyTray01,E9,vertebrate hair,raccoon
Rac16,-18.57611995,468.0246406,7.339968398,150.4369902,SFPreyTray01,E10,vertebrate hair,raccoon
Rac19,-18.71312023,376.0528898,7.892197234,123.7842781,SFPreyTray01,E11,vertebrate hair,raccoon
Rac23,-23.56312289,457.0024215,8.350135827,140.2939329,SFPreyTray01,E12,vertebrate hair,raccoon
Rac25,-23.55722205,492.6529223,11.91116751,159.010955,SFPreyTray01,F1,vertebrate hair,raccoon
Rac30,-18.78564443,494.5826283,7.414128569,160.5015721,SFPreyTray01,F2,vertebrate hair,raccoon
Rac32,-18.0788109,646.767748,6.625057378,212.196303,SFPreyTray01,F3,vertebrate hair,raccoon
Pig01,-20.29425445,698.5427414,6.585706643,205.817736,SFPreyTray01,F4,feathers,pigeon
Pig02,-17.60136615,695.7626565,6.63505729,209.2583334,SFPreyTray01,F5,feathers,pigeon
Pig03,-23.22135599,646.0154897,7.706797092,193.5236003,SFPreyTray01,F6,feathers,pigeon
Pig04,-21.77459087,587.7972406,5.132113158,167.7777495,SFPreyTray01,F7,feathers,pigeon
Pig05,-21.13069737,597.5438913,6.863974713,174.755174,SFPreyTray01,F8,feathers,pigeon
Pig06,-19.56022889,700.0799648,7.178900269,164.6900617,SFPreyTray01,F9,feathers,pigeon
Rav01,-19.75340939,661.5185515,7.607503737,182.6158232,SFPreyTray01,F10,feathers,raven
Rav02,-20.39239391,546.1940874,7.485267956,149.203104,SFPreyTray01,F11,feathers,raven
Pass01,-19.63052433,633.9793573,5.568842748,190.178437,SFPreyTray01,F12,feathers,passerine
Pass02,-22.98067807,613.635677,9.089199342,179.8240657,SFPreyTray01,G1,feathers,passerine
Pass03,-24.08891213,635.4838739,9.035538982,192.7870344,SFPreyTray01,G2,feathers,passerine
Pass04,-23.85853894,537.0034536,2.602078454,159.2876243,SFPreyTray01,G3,feathers,passerine
Beef01,-11.83739055,544.362502,6.199623011,164.2076347,SFPreyTray01,G4,freeze-dried meat,meat
Pork01,-15.31949971,532.1628352,3.406838833,164.9446939,SFPreyTray01,G5,freeze-dried meat,meat
Pork02,NA,NA,NA,NA,SFPreyTray01,G6,freeze-dried meat,meat
ChkC01,-17.46840937,621.5740948,2.307609658,194.933088,SFPreyTray01,G7,freeze-dried meat,meat
Turk01,-20.41373997,441.1135028,2.176217524,120.5629777,SFPreyTray01,G9,freeze-dried meat,meat
Wet01,-18.49098691,775.4786866,8.404334236,188.6323057,SFPreyTray01,G10,freeze-dried petfood,wet.food
Wet02,-20.97206296,746.5141503,7.199489524,174.0647265,SFPreyTray01,G11,freeze-dried petfood,wet.food
Wet03,-16.2751724,824.1057828,5.869616066,247.4890609,SFPreyTray01,G12,freeze-dried petfood,wet.food
Wet04,-24.08559411,854.9032167,2.974221294,244.9976266,SFPreyTray01,H1,freeze-dried petfood,wet.food
