SampleID,Replicate,Name,Site,Initials,Year,Month,Day,Lat,Long,Sus.sp,Genotype,Geno.Sp,Category,Individual,Cytb_Sp
S20_3616,None,#71 LHS1,LAKE,JK,2019,8,7,37.729695,-122.48071,coyote,Success,coyote,SFCoy,SFCoy5,NA
S20_3617,None,#72 LkMd1,LAKE,JK,2019,9,7,37.72840428,-122.4935824,coyote,Success,coyote,SFCoy,SFCoy109,NA
S20_3618,None,#73 LkMd2,LAKE,JK,2019,9,8,37.72840428,-122.4935824,coyote,Success,coyote,SFCoy,SFCoy73,NA
S20_3619,None,#84 LkMd3,LAKE,JK,2020,2,9,37.729695,-122.48071,coyote,Success,coyote,SFCoy,SFCoy61,NA
S20_3620,None,#85 LkMd4,LAKE,JK,2020,2,18,37.729695,-122.48071,coyote,Fail,NA,NA,NA,NA
S20_3621,None,#86 LkMd5,LAKE,JK,2020,2,18,37.73079481,-122.4810035,coyote,Success,coyote,SFCoy,SFCoy61,NA
S20_3622,None,#91a LkMd6,LAKE,JK,2020,3,10,37.729695,-122.48071,coyote,Success,coyote,SFCoy,SFCoy61,NA
S20_3623,None,#91b LkMd7,LAKE,JK,2020,3,10,37.729695,-122.48071,coyote,Success,coyote,SFCoy,SFCoy61,NA
S20_3624,None,#74 GC1,GLEN,JK,2019,9,18,37.744329,-122.446116,coyote,Success,coyote,SFCoy,SFCoy6,NA
S20_3625,None,#75 GC2,GLEN,JK,2019,9,22,37.74348,-122.442157,coyote,Success,coyote,SFCoy,SFCoy7,NA
S20_3626,None,#76 GC3,GLEN,JK,2019,9,28,37.741466,-122.441135,coyote,Success,coyote,SFCoy,SFCoy9,NA
S20_3627,None,#77 GC4,GLEN,JK,2019,11,22,37.741466,-122.441135,coyote,Success,coyote,SFCoy,SFCoy8,NA
S20_3628,None,#78 GC5,GLEN,JK,2019,11,30,37.741466,-122.441135,coyote,Success,coyote,SFCoy,SFCoy8,NA
S20_3629,None,#79 GC6,GLEN,JK,2019,12,14,37.744329,-122.446116,coyote,Success,coyote,SFCoy,SFCoy9,NA
S20_3630,None,#80 GC7,GLEN,JK,2019,12,15,37.74348,-122.442157,coyote,Success,coyote,SFCoy,SFCoy8,NA
S20_3631,None,#83 GC8,GLEN,JK,2020,2,10,37.744329,-122.446116,coyote,Fail,NA,NA,NA,NA
S20_3632,None,#87 GC9,GLEN,JK,2020,2,25,37.74348,-122.442157,coyote,Success,coyote,SFCoy,SFCoy11,NA
S20_3633,None,#92 GC10,GLEN,JK,2020,3,12,37.744329,-122.446116,coyote,Fail,NA,NA,NA,NA
S20_3634,None,#81 LFYT1,LAFY,JK,2020,1,1,37.790983,-122.427564,coyote,Success,coyote,SFCoy,SFCoy12,NA
S20_3635,None,#82 LFYT2,LAFY,JK,2020,1,1,37.791726,-122.426928,coyote,Success,coyote,SFCoy,SFCoy12,NA
S20_3636,None,#88 BVP3,BVP,JK,2020,2,29,37.76804,-122.442873,coyote,Fail,NA,NA,NA,NA
S20_3637,None,#89 BVP4,BVP,JK,2020,2,29,37.76804,-122.442873,coyote,Success,coyote,SFCoy,SFCoy13,NA
S20_3638,None,#95 BV5,BVP,JK,2020,3,17,37.769026,-122.439509,coyote,Success,coyote,SFCoy,SFCoy24,NA
S20_3639,None,#90 BH6,BVP,JK,2020,3,7,37.769026,-122.439509,coyote,Success,coyote,SFCoy,SFCoy44,NA
S20_3640,None,#93a BH8,BERN,JK,2020,3,14,37.74251,-122.41194,coyote,Success,coyote,SFCoy,SFCoy14,NA
S20_3641,None,#93b BH8,BERN,JK,2020,3,14,37.74251,-122.41194,coyote,Fail,NA,NA,NA,NA
S20_3642,None,#94 P5,PRES,JK,2020,3,14,37.797825,-122.461727,coyote,Success,coyote,SFCoy,SFCoy73,NA
S20_3645,None,20200302-DH-01,PRES,DH,2020,3,2,NA,NA,coyote,Fail,NA,NA,NA,coyote
S20_3646,None,20200310-DH-01,PRES,DH,2020,3,10,37.795778,-122.469656,coyote,Fail,NA,NA,NA,dog
S20_3647,None,20200417-DH-01,PRES,DH,2020,4,17,37.796938,-122.464181,coyote,Success,coyote,SFCoy,SFCoy24,coyote
S20_3648,None,20200501-DH-01,PRES,DH,2020,5,1,37.795873,-122.464049,coyote,Success,coyote,SFCoy,SFCoy16,coyote
S20_3649,None,20200710-TC-01,GLEN,TC,2020,7,10,37.74162,-122.44117,coyote,Fail,NA,NA,NA,canine/messy
S20_3650,None,20200710-TC-02,GLEN,TC,2020,7,10,37.73851,-122.44043,coyote,Success,coyote,SFCoy,SFCoy17,coyote
S20_3651,None,20200710-TC-03,GLEN,TC,2020,7,10,37.74223,-122.44439,coyote,Fail,NA,NA,NA,coyote
S20_3652,None,20200710-TC-04,BVP,TC,2020,7,10,37.76649,-122.4418,coyote,Success,coyote,SFCoy,SFCoy13,coyote
S20_3653,None,20200710-TC-05,BVP,TC,2020,7,10,37.76671,-122.44188,coyote,Success,coyote,SFCoy,SFCoy73,coyote
S20_3654,None,20200710-TC-06,BVP,TC,2020,7,10,37.76674,-122.44167,coyote,Success,coyote,SFCoy,SFCoy13,coyote
S20_3655,None,20200710-TC-07,BVP,TC,2020,7,10,37.76693,-122.44165,coyote,Success,coyote,SFCoy,SFCoy13,coyote
S20_3656,None,20200710-TC-08,BVP,TC,2020,7,10,37.7669,-122.44168,coyote,Success,coyote,SFCoy,SFCoy13,coyote
S20_3657,None,20200710-TC-09,BVP,TC,2020,7,10,37.76961,-122.44195,coyote,Fail,NA,NA,NA,fail
S20_3658,None,20200710-TC-10,BVP,TC,2020,7,10,37.76958,-122.44191,coyote,Fail,NA,NA,NA,coyote
