group,lat,long,ISA,Urban,Food.Services,Pop.Den.2020,Housing.Den.2020
Bernal,37.73952523,-122.4166335,72.62389,95.0157548,118,7757.412777,3448.4839
Coit,37.80423392,-122.4154231,80.89182058,98.1426202,328,12748.61043,8211.9403
Corona Heights,37.76510134,-122.4394296,70.74563162,92.2085362,273,11008.21684,6081.4883
GGP - East,37.76946988,-122.4708439,48.31317558,65.8892128,124,5993.405668,2799.5799
GGP - West,37.76760581,-122.4953078,44.37580175,59.1226031,53,4442.256939,1843.1315
Glen,37.74608964,-122.4476423,51.1756447,78.739255,27,3531.666164,1972.1208
Land's End,37.78417217,-122.5043202,41.43529862,55.5381605,47,4165.773811,1870.8629
McLaren,37.71829527,-122.4198626,42.22761194,62.1350887,14,4530.800295,1516.26
Merced,37.71282593,-122.487784,24.02176918,42.8421788,16,1843.678029,1223.2806
Presidio,37.79739863,-122.4662972,17.71913669,30.7559644,5,854.9744011,414.4337
St. Francis,37.7364392,-122.4713176,60.90609791,93.2150014,93,4087.246579,1598.8896
